GPP_cedar,GPP_fluxsat,GPP_zhang,GPP_MOD17A3HGF,GOME2_PK_SIF,GOME2_JJ_SIF,OCO2SIF,GOSIF,SIFOCO2,ELEVATION,BCCMASS,BCdepo,TA,RF,SM,SW,VPD,soilClayContent,soilWaterContent,soilPH,soilBulkDensity,soilTaxa,Ndepo,LAI,BIOMASS,longitude,latitude,indRows,indCols,Region,randomNum
7.4,8.19,6.65753424657534,8.05479452054795,0.3859,0.738,0.315,0.336,0.302,2785,5320,2210,29258,3775,485,14490,31,3050,4876,5102,10160,264,32345236,54,25791,-77.4238537209302,-0.279508497187474,37,184,1,0.700187647740891
8.04,8.82,7.23287671232877,8,0.4115,0.7702,0.385,0.388,0.37,1454,5683,2064,29637,3596,550,14432,34,3102,4357,4863,10840,402,28352840,56,26778,-77.4238537209302,-0.838525491562421,38,184,1,0.170224223729873
8.39,8.93,7.31506849315068,7.72602739726027,0.4244,0.7892,0.415,0.408,0.383,756,6160,2127,29680,3461,572,14483,34,2917,3923,4740,11445,402,25357499,58,27714,-77.4238537209302,-1.39754248593737,39,184,1,0.83304427105305
8.35,9,7.53424657534247,7.58904109589041,0.4128,0.7771,0.405,0.404,0.377,745,6408,2127,29668,2932,551,14127,34,2910,3941,4707,11290,402,23961721,58,27202,-77.4238537209302,-1.95655948031232,40,184,1,0.728057084721778
8.43,9.05,8.24657534246575,7.67123287671233,0.423,0.7912,0.43,0.428,0.4,810,6392,1967,29735,3073,570,13895,34,2833,3825,4644,11071,402,21238234,59,28041,-77.4238537209302,-2.51557647468726,41,184,1,0.775893015135978
8.4,8.88,8.19178082191781,8.02739726027397,0.4145,0.7775,0.425,0.412,0.391,408,6534,1681,29791,3301,572,13947,33,3010,3815,4602,10746,389,20645102,59,29453,-77.4238537209302,-3.07459346906221,42,184,1,0.763495251449153
8.37,8.85,8.19178082191781,8.05479452054795,0.4089,0.7758,0.415,0.408,0.386,396,6530,1597,29792,3602,542,14490,34,3079,3927,4548,10903,402,20671851,58,30725,-77.4238537209302,-3.63361046343716,43,184,1,0.0570994655747198
8.23,8.65,8.05479452054795,7.97260273972603,0.3961,0.7658,0.4,0.392,0.374,332,6540,1563,29763,3326,517,14618,33,3085,3973,4600,10744,402,20734853,56,27994,-77.4238537209302,-4.19262745781211,44,184,1,0.609847721618856
8.38,8.66,8.52054794520548,8.3013698630137,0.4149,0.7896,0.415,0.408,0.383,362,6573,1975,29712,2634,517,14880,37,3114,4112,4720,10072,402,22311244,58,29372,-77.4238537209302,-4.75164445218705,45,184,1,0.898471800448384
8.13,8.74,7.75342465753425,8.27397260273973,0.3701,0.7504,0.355,0.364,0.329,759,6275,2271,29360,2801,542,15151,30,3371,4479,5110,10119,340,24012269,54,28159,-77.4238537209302,-5.310661446562,46,184,1,0.516130724509215
