YY,MM,DD,system_index,QC_500m,Range,SensorAzimuth,SensorZenith,SolarAzimuth,SolarZenith,date1,date_end,date_start,ecoregion,flux_data,flux_sitenames,gflags,granule_pnt,iobs_res,koeppen_geiger,landcover_igbp,num_observations_1km,num_observations_500m,obscov_500m,orbit_pnt,primary_veg_type,q_scan,secondary_veg_type,site_num,sitename,state_1km,sur_refl_b01,sur_refl_b02,sur_refl_b03,sur_refl_b04,sur_refl_b05,sur_refl_b06,sur_refl_b07,wwf_biome,x_geo,Var38,Var39,,
2000,5,3,2000_05_03_0000000000000000014e,1073741824,33383,9833,3421,15095,3126,11080,2019-01-13,2007-03-15,8,false,,0,1,1,Dfb,5,3,1,40,1,DB,15,EN,64,acadia,80,691,2259,296,605,2814,2380,772,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,4,2000_05_04_0000000000000000014e,1073741824,33155,-7472,3348,17096,2845,11081,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,2,1,30,1,DB,15,EN,64,acadia,1042,905,1826,740,867,2186,1808,1060,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,5,2000_05_05_0000000000000000014e,1073741824,39828,9638,4794,14538,3188,11082,2019-01-13,2007-03-15,8,false,,0,0,0,Dfb,5,3,1,24,0,DB,3,EN,64,acadia,1041,4726,4875,4643,4777,4855,3369,2075,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,6,2000_05_06_0000000000000000014e,1075576832,29186,-7861,1543,16472,2835,11083,2019-01-13,2007-03-15,8,false,,0,2,0,Dfb,5,2,1,46,1,DB,15,EN,64,acadia,1809,1856,2577,1823,1895,2834,2033,1204,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,7,2000_05_07_0000000000000000014e,1073741824,50255,-6929,6032,-17345,2748,11084,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,4,2,8,1,DB,15,EN,64,acadia,1040,946,1951,1147,1095,2158,1640,804,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,8,2000_05_08_0000000000000000014e,1073741824,28375,10263,591,15847,2851,11085,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,2,1,30,1,DB,15,EN,64,acadia,1809,1227,2172,1028,1203,2548,2086,802,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,9,2000_05_09_0000000000000000014e,1075838976,42595,-7133,5192,-17977,2682,11086,2019-01-13,2007-03-15,8,false,,0,1,1,Dfb,5,4,2,16,1,DB,3,EN,64,acadia,1041,8776,8637,8632,8829,29,2210,1761,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,10,2000_05_10_0000000000000000014e,1073741824,31082,9891,2611,15234,2893,11087,2019-01-13,2007-03-15,8,false,,0,1,0,Dfb,5,1,1,25,1,DB,15,EN,64,acadia,1041,8536,8375,8379,8527,5602,2411,757,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,11,2000_05_11_0000000000000000014e,1075838976,35817,-7341,4032,17367,2642,11088,2019-01-13,2007-03-15,8,false,,0,2,2,Dfb,5,4,1,31,1,DB,6,EN,64,acadia,1041,7744,7784,7515,7722,6651,3883,2450,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,12,2000_05_12_0000000000000000014e,1073741824,36643,9692,4213,14637,2960,11089,2019-01-13,2007-03-15,8,false,,0,0,2,Dfb,5,3,1,18,0,DB,15,EN,64,acadia,1041,1514,2774,1343,1541,3204,2436,1807,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
2000,5,13,2000_05_13_0000000000000000014e,1073741824,30712,-7589,2438,16701,2630,11090,2019-01-13,2007-03-15,8,false,,0,2,1,Dfb,5,3,1,25,1,DB,15,EN,64,acadia,1041,4922,5198,4791,4927,5263,4442,3000,4,{"type":"Point","coordinates":[-68.26083304186548,44.376942470186]},,
